"Home","Home"
"Go to Home Page","Ga naar homepagina"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"All","Alle"
"Yes","Ja"
"No","Nee"
"Results","Resultaten"
"Advanced Search Results","Geavanceerde zoekresultaten"
"Grid","Foto-tabel"
"List","Lijst"
"Search Weight","Zoekgewicht"
"Relevance","Relevantie"
"Search results for: '%1'","Zoekresultaten voor: ‘%1’"
"Minimum Search query length is %1","Minimale lengte zoekopdracht is %1"
"Search term is empty","Zoekterm is leeg"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 en groter"
"up to %1","tot %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Categorie"
"%1 and above","%1 en hoger"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Product"
"Search Settings","Zoekinstellingen"
"Search","Zoek"
"Advanced Search","Geavanceerd zoeken"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 artikel(en)</strong> gevonden met de volgende zoekopdracht"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 product(en)</strong> gevonden met de volgende zoekopdracht"
"We can't find any items matching these search criteria.","We hebben geen producten gevonden, die aan deze zoekcriteria voldoen."
"Modify your search.","Pas uw zoekopdracht aan."
"name","naam"
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Your search returned no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
"Catalog Section","Catalogus sectie"
"Catalog Search","Catalogus doorzoeken"
"Popular Search Terms","Populaire zoekwoorden"
"Minimal Query Length","Minimale lengte zoekopdracht"
"Maximum Query Length","Maximale lengte zoekopdracht"
"Number of top search results to cache","Aantal top zoekresultaten naar cache"
"Rebuild Catalog product fulltext search index","Product 'fulltext' zoekindex"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test uitzondering"
"Please enter a valid price range.","Voer een geldig prijsbereik in."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Aantal populaire zoektermen die gecached worden voor snellere reactie. Gebruik ""0"" om alle resultaten te cachen nadat een term voor de tweede keer is gezocht."
"Enable EAV Indexer","EAV-index inschakelen"
"Enter a search term and try again.","Voer een zoekterm in en probeer het opnieuw."
"An error occurred. For details, see the error log.","Er is een fout opgetreden. Voor details, raadpleeg error logs."
"The bucket doesn't exist.","De bak bestaat niet."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autoaanvullen limiet"
