"Code","Codice"
"Country","Nazione"
"State","Stato"
"Zip/Post Code","Codice Cap"
"Rate","Aliquota"
"Zip/Post is Range","Cap è un intervallo"
"Range From","Intervallo da"
"Range To","Intervallo a"
"Tax Zones and Rates","Zone e aliquote fiscali"
"Import and Export Tax Rates","Importa ed esporta aliquote fiscali"
"The tax rate has been imported.","L'aliquota fiscale è stata importata."
"Invalid file upload attempt","Tentativo di caricamento file non valido"
"Invalid file upload attempt.","Tentativo di caricamento file non valido."
"Invalid file format.","Formato file non valido."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Importa aliquote fiscali"
"Export Tax Rates","Esporta aliquote fiscali"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","Importazione/esportazione delle aliquote fiscali"
