"Code","Kod"
"Country","Land"
"State","Län"
"Zip/Post Code","Postnummer"
"Rate","Betygsätt"
"Zip/Post is Range","Postnummer mellan"
"Range From","Sträcker sig från"
"Range To","Sträcker sig till"
"Tax Zones and Rates","Skatt zoner och priser"
"Import and Export Tax Rates","Import och Export skattesatser"
"The tax rate has been imported.","Skattesatsen har importerats."
"Invalid file upload attempt","Ogiltig filuppladdningsförsök"
"Invalid file upload attempt.","Ogiltig filuppladdningsförsök."
"Invalid file format.","Ogiltigt filformat."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Importera skattesatser"
"Export Tax Rates","Exportera skattesatser"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Landskoden är ogiltig: %1"
"Import/Export Tax Rates","Importera/exportera momssatser"
