"Product Alerts","Produk tanda"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Tambahkan Pilihan"
"Select Attribute","Hapus Atribut"
"Create New Attribute","Buat Atribut Baru"
"Customizable Options","Pilihan disesuaikan"
"Custom options let customers choose the product variations they want.","Pilihan khusus membiarkan pelanggan memilih variasi produk yang mereka inginkan."
"Add Option","Pilihan Baru"
"New Option","Pilihan Baru"
"Select Product","Pilih Produk"
"Option Title","Judul Pilihan"
"Add Value","Nilai tambah"
"Title","Judul"
"Option Type","Jenis Pilihan"
"Required","Wajib"
"Price Type","Tipe Harga"
"Max Characters","Max karakter"
"Compatible File Extensions","Ekstensi File yang Kompatibel"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Ukuran Gambar Maksimum"
"Please leave blank if it is not an image.","Tolong biarkan kosong jika bukan gambar."
"%1","%1"
"This item has weight","Item ini memiliki berat"
"This item has no weight","Item ini memiliki berat"
"Set Product as New From","Atur Produk seperti Baru"
"Related Products, Up-Sells, and Cross-Sells","Produk Terkait, Up-Sells, dan Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Produk terkait ditunjukkan kepada pelanggan selain item yang dilihat pelanggan."
"Add Related Products","Tambahkan Produk Pilihan"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Item up-sell ditawarkan kepada pelanggan sebagai alternatif pricier atau berkualitas lebih tinggi untuk produk yang dilihat pelanggan."
"Add Up-Sell Products","Menambahkan produk Up-Selling"
"Up-Sell Products","Up-Jual Produk"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Produk-produk ""dorongan-Beli"" ini muncul di keranjang belanja sebagai salib-menjual item sudah di keranjang belanja."
"Add Cross-Sell Products","Menambahkan Salib-menjual produk"
"Cross-Sell Products","Salib-Jual Produk"
"Add Selected Products","Tambahkan Produk Pilihan"
"Remove","Menghapus"
"Thumbnail","Privew Gambar"
"Actions","Tindakan"
"Schedule Update From","Jadwal Update Dari"
"Product in Websites","Produk dalam situs"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Jika instalasi Magento Anda memiliki beberapa situs web, Anda dapat mengedit ruang lingkup untuk menggunakan produk di situs tertentu."
"name","nama"
"Copy Data from","Menyalin data dari"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Jika tidak ada kategori induk khusus, harap gunakan kategori induk default. Anda dapat menetapkan kategori kapan saja di <ahref=""%1""target=""_blank"">Produk&gt; Kategori</a>."
"This operation can take a long time","Operasi ini bisa memakan waktu lama"
"Collapse All","Tutup Semua"
"Expand All","Perluas Semua"
"Please confirm site switching. All data that hasn't been saved will be lost.","Mohon konfirmasi peralihan situs. Seluruh data yang belum tersimpan akan hilang."
"Use Default Value","Gunakan Nilai Default"
"Manage Titles (Size, Color, etc.)","Mengelola Judul (Ukuran, Warna, dll.)"
"Manage Options (Values of Your Attribute)","Kelola Pilihan (Nilai Atribut Anda)"
"Is Default","Default"
"Sort Option","Urutkan opsi"
"Groups","Grup"
"Double click on a group to rename it.","Klik dua kali pada sebuah grup untuk mengganti namanya."
"Unassigned Attributes","Atribut yang Belum Ditetapkan"
"A name is required.","Sebuah nama diperlukan."
"This group contains system attributes. Please move system attributes to another group and try again.","Kelompok ini berisi atribut sistem. Harap pindahkan atribut sistem ke grup lain dan coba lagi."
"Please select a node.","Silahkan pilih sebuah node."
"Please enter a new group name.","Harap masukkan nama grup yang baru."
"An attribute group named ""/name/"" already exists.","Grup atribut bernama ""/name/"" sudah ada."
"Sorry, we're unable to complete this request.","Maaf, kami tidak dapat menyelesaikan permintaan ini."
"You can't remove attributes from this attribute set.","Anda tidak dapat menghapus atribut dari set atribut ini."
"Custom Options","Pilihan kustom"
"This is a required option.","Ini adalah pilihan yang dibutuhkan."
"The field isn't complete.","Bidang tidak lengkap."
"Compatible file extensions to upload","Ekstensi file yang kompatibel untuk diunggah"
"Maximum image width","Lebar gambar maksimal"
"Maximum image height","Tinggi gambar maksimum"
"Maximum number of characters:","Jumlah karakter maksimum:"
"start typing to search template","mulai mengetik untuk mencari template"
"Product online","Produk online"
"Product offline","Produk offline"
"Product online status","Status produk online"
"Manage Stock","Atur Stok"
"Qty","Jumlah"
"Out-of-Stock Threshold","Ambang Batas Stok habis"
"Minimum Qty Allowed in Shopping Cart","Qty minimum Yang diizinkan dalam keranjang belanja"
"Maximum Qty Allowed in Shopping Cart","Qty maksimum yang diizinkan dalam keranjang belanja"
"Qty Uses Decimals","Qty menggunakan Desimal"
"Backorders","Kembali perintah"
"Notify for Quantity Below","Beritahu kuantitas dibawah ini"
"Enable Qty Increments","Aktifkan Qty tambahan"
"Qty Increments","Qty Tambahan"
"Stock Availability","Ketersediaan stok"
"In Stock","Dalam Persediaan"
"Out of Stock","Tidak Ada Persediaan"
"Add Product To Websites","Tambahkan Produk ke Situs Web"
"Remove Product From Websites","Hapus Produk dari Situs Web"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Untuk menyembunyikan item dalam katalog atau hasil pencarian, setel status menjadi ""Disabled""."
"We can't save custom-defined options for bundles with dynamic pricing.","Kami tidak dapat menyimpan pilihan kustom yang ditetapkan untuk bundel dengan harga dinamis."
"Delete Custom Option","Menghapus pilihan kebiasaan"
"Sort Custom Options","Urutkan opsi kustom"
"Input Type","Masukkan Jenis"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Urutkan opsi kustom"
"Item Price","Harga barang"
"Action","Tindakan"
"and above","dan lebih"
"Delete Tier","Hapus aturan"
"Product In Websites","Produk di Website"
"(Copy data from: %1)","(Menyalin data dari: %1)"
"Browse to find or drag image here","Jelajahi untuk mencari atau menyeret gambar di sini"
"Delete image","Hapus gambar"
"Hidden","Tersembunyi"
"Alt Text","Alt Teks"
"Role","Peran"
"Image Size","Ukuran Gambar"
"{size}","{ukuran}"
"Image Resolution","Resolusi gambar"
"{width}^{height} px","{width} ^ {height} px"
"Hide from Product Page","Sembunyikan dari Halaman Produk"
"Allow Multiple Boxes for Shipping","Memungkinkan Beberapa Kotak untuk Pengiriman"
"start typing to search attribute","mulai mengetik untuk mencari atribut"
"Basic Settings","Setelan Dasar"
"Advanced Settings","Setelan lanjutan"
"Changes have been made to this section that have not been saved.","Perubahan telah dibuat untuk bagian ini yang belum disimpan."
"This tab contains invalid data. Please resolve this before saving.","Tab ini berisi data yang tidak valid. Silakan menyelesaikan ini sebelum menyimpan."
"Mass Actions","Tindakan massa"
"Select All","Pilih Semua"
"Unselect All","Tidak dipilih semua"
"Select Visible","Pilih Terlihat"
"Unselect Visible","Tidak dipilih Terlihat"
"Special Price","Harga Spesial"
"Regular Price","Harga umum"
"Buy %1 for: ","Beli %1 Untuk: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Buy %1 for %2 each"
"Shop By","Belanja dengan"
"Shopping Options","Pilihan Belanja"
"Compare Products","Bandingkan produk"
"Print This Page","Cetak Halaman ini"
"Remove Product","Hapus produk"
"Add to Cart","Tambahkan ke Keranjang"
"In stock","Dalam Persediaan"
"Out of stock","Persediaan Habis"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"You have no items to compare.","Anda tidak memiliki item untuk membandingkan."
"Remove This Item","Hapus Barang Ini"
"Compare","Bandingkan"
"Clear All","Bersihkan Semua"
"Prev","Prev"
"Next","Lanjut"
"We can't find products matching the selection.","Kami tidak dapat menemukan produk yang sesuai dengan pilihannya."
"Learn More","Pelajari Lagi"
"Add to Compare","Tambahkan untuk Membandingkan"
"We found other products you might like!","Kami menemukan produk lain yang mungkin Anda sukai!"
"More Choices:","Pilihan lebih:"
"Check items to add to the cart or","Centang item untuk ditambahkan ke keranjang atau"
"select all","pilih Semua"
"Items %1-%2 of %3","%1-%2 dari %3 barang"
"%1 Item","%1 barang"
"%1 Items","%1 Items"
"Show","Menunjukkan"
"per page","per halaman"
"Sort By","Sortir dengan"
"Set Ascending Direction","Set Arah secara Ascending"
"Set Descending Direction","Mengatur menurun arah"
"View as","Lihat sebagian"
"More Information","Informasi lebih lanjut"
"Loading...","Loading..."
"* Required Fields","* Bidang yang harus Diisi"
"Availability","Tersedianya"
"Warning message","Pesan peringatan"
"Submit","Submit"
"We don't recognize or support this file extension type.","Kami tidak mengenal atau mendukung jenis ekstensi berkas ini."
"Configure Product","Konfiurasi produk"
"OK","Ok"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Pilih jenis pilihan."
"Please add rows to option.","Tolong tambahkan baris ke pilihan."
"Please select items.","Please select items."
"Choose existing category.","Pilih kategori yang ada."
"Image Detail","Detail Gambar"
"Adding...","Adding..."
"Added","Ditambahkan"
"does not implement Storage Interface","tidak mengimplementasikan Storage Interface"
"unselect all","batalkan semua pilihan"
"Inventory","Persediaan"
"Catalog Section","Bagian katalog"
"Small","Kecil"
"Main","Utama"
"Custom image","Gambar kustom"
"Product Fields Auto-Generation","Bidang Produk Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Gunakan {{name}} sebagai placeholder nama produk"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Gunakan {{name}} sebagai Nama Produk atau {{sku}} sebagai placeholder SKU Produk"
"Mask for Meta Description","Masker untuk Deskripsi Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Gunakan {{name}} dan {{description}} sebagai placeholder Produk dan Deskripsi Produk"
"Recently Viewed/Compared Products","Produk yang Baru Dilihat/Dibanding"
"Lifetime of products in Recently Viewed Widget","Seumur hidup produk di Widget yang Baru Dilihat"
"Lifetime of products in Recently Compared Widget","Seumur hidup produk di Widget Baru Dibanding"
"Synchronize widget products with backend storage","Sinkronkan produk widget dengan penyimpanan backend"
"Storefront","Etalase"
"List Mode","Mode daftar"
"Products per Page on Grid Allowed Values","Produk per Halaman pada Grid Allowed Values"
"Comma-separated.","Dipisahkan koma."
"Products per Page on Grid Default Value","Produk per Halaman pada Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Produk per Halaman pada Daftar Nilai yang Diizinkan"
"Products per Page on List Default Value","Produk per Halaman pada Daftar Nilai Default"
"Use Flat Catalog Category","Gunakan Kategori Katalog Flat"
"Use Flat Catalog Product","Gunakan Produk Katalog Flat"
"Product Listing Sort by","Daftar Produk Urutkan menurut"
"Allow All Products per Page","Izinkan Semua Produk per Halaman"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Placeholder gambar produk"
"Search Engine Optimization","Optimisasi Mesin Pencari"
"Page Title Separator","Pemisah judul halaman"
"Use Canonical Link Meta Tag For Categories","Gunakan Canonical Link Meta Tag Untuk Kategori"
"Use Canonical Link Meta Tag For Products","Gunakan Canonical Link Meta Tag Untuk Produk"
"Catalog Price Scope","Katalog Harga Lingkup"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ini mendefinisikan cakupan mata uang dasar (""Penyiapan Mata Uang"">""Opsi Mata Uang"">""Mata Uang Dasar"")."
"Category Top Navigation","Kategori Navigasi Atas"
"Maximal Depth","Kedalaman maksimal"
"Date & Time Custom Options","Opsi Khusus Tanggal & Waktu"
"Use JavaScript Calendar","Gunakan Kalender JavaScript"
"Date Fields Order","Bidang Tanggal Pesanan"
"Time Format","Format waktu"
"Year Range","Rentang tahun"
"Please use a four-digit year format.","Mohon gunakan format empat digit tahun."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Kategori Tingkat Atas"
"Product Info Column","Kolom Info Produk"
"Block after Info Column","Blokir setelah Kolom Info"
"Product Flat Data","Data Flat Produk"
"Reorganize EAV product structure to flat structure","Susun ulang struktur produk EAV ke struktur datar"
"Category Flat Data","Data datar Kategori"
"Reorganize EAV category structure to flat structure","Susun kembali struktur kategori EAV ke struktur datar"
"Category Products","Kategori Produk"
"Indexed category/products association","Asosiasi kategori / produk terindeks"
"Product Categories","Kategori Produk"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Harga produk"
"Index product prices","Indeks harga produk"
"Product EAV","Produk EAV"
"Index product EAV","Indeks produk EAV"
"Catalog New Products List","Katalog Daftar Produk Baru"
"List of Products that are set as New","Daftar Produk yang ditetapkan sebagai Baru"
"Display Type","Tipe tampilan"
"All products - recently added products, New products - products marked as new","Semua produk - produk baru ditambahkan, Produk baru - produk yang ditandai sebagai baru"
"All products","Semua produk"
"New products","Produk Baru"
"Display Page Control","Kontrol halaman tampilan"
"Number of Products per Page","Jumlah Produk per Halaman"
"Number of Products to Display","Jumlah Produk yang Akan Ditampilkan"
"Template","Template"
"New Products Grid Template","Template Grid Produk Baru"
"New Products List Template","Template Cantik Produk Baru"
"New Products Images and Names Template","Template Gambar dan Nama Produk Baru"
"New Products Names Only Template","Nama Produk Baru Hanya Template"
"New Products Images Only Template","Gambar Produk Baru Hanya Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Detik)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Katalog Produk"
"Link to a Specified Product","Link ke Produk Tertentu"
"Select Product...","Pilih Produk..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, we'll use the product name here.","Jika kosong, kita akan menggunakan nama produk disini."
"Anchor Custom Title","Judul Jabatan Jangkar"
"Product Link Block Template","Template Blok Tautan Produk"
"Product Link Inline Template","Tautan Kotak Masuk Produk"
"Catalog Category Link","Katalog Kategori Link"
"Link to a Specified Category","Link to a Specified Category"
"Select Category...","Pilih Kategori..."
"If empty, we'll use the category name here.","Jika kosong, kita akan menggunakan nama kategori disini."
"Category Link Block Template","Kategori Tautan Blok Template"
"Category Link Inline Template","Kategori Tautan Template Inline"
"Recently Viewed Products","Produk yang baru saja dilihat"
"List of Products Recently Viewed by Visitor","Daftar Produk Baru Dilihat oleh Pengunjung"
"UI Component","Ubah Komponen"
"Number of Products to display","Jumlah Produk yang akan ditampilkan"
"Product attributes to show","Atribut produk untuk menunjukkan"
"Image","Gambar"
"Learn More Link","Pelajari lebih lanjut Link"
"Buttons to show","Tombol untuk menunjukkan"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Viewed Products Grid Template","Dilihat Produk Grid Template"
"Viewed Products List Template","Dilihat Daftar Produk Template"
"Viewed Products Sidebar Template","Dilihat Produk Sidebar Template"
"Recently Compared Products","Baru Dibanding Produk"
"List of Products Recently Compared by Visitor","Daftar Produk Baru Dibandingkan dengan Pengunjung"
"Compared Products Grid Template","Dibandingkan Produk Grid Template"
"Compared Products List Template","Bandingkan Daftar Produk Template"
"Set","Atur"
"Category Information","Informasi Kategori"
"Enable Category","Aktifkan kategori"
"Include in Menu","Termasuk didalam menu"
"Content","Konten"
"Category Image","Kategori Gambar"
"Description","Deskripsi"
"Add CMS Block","Tambahkan CMS Blok"
"Display Settings","Pengaturan Tampilan"
"Display Mode","Mode tampilan"
"Anchor","Jangkar"
"Available Product Listing Sort By","Daftar Produk yang Tersedia Urutkan Berdasarkan"
"Use All","Gunakan Semua"
"Default Product Listing Sort By","Daftar Produk Default Urut"
"Layered Navigation Price Step","Langkah Harga Navigasi Layered"
"URL Key","URL Kunci"
"Meta Title","Judul Meta"
"Meta Keywords","Kata kunci Meta"
"Meta Description","Deskripsi Meta"
"Products in Category","Produk di Kategori"
"Design","Desain"
"Theme","Tema"
"Layout","Tata letak"
"Layout Update XML","Layout Update XML"
"Apply Design to Products","Terapkan Desain untuk Produk"
"Schedule Design Update","Desain Update jadwal"
"AttributeSetText","Atribut SetText"
"StatusText","Status Teks"
"Product Image Watermarks","Tanda Air Gambar Produk"
"Base","Mendasarkan"
"Allowed file types: jpeg, gif, png.","Diperbolehkan jenis file: jpeg, gif, png."
"Image Opacity","Gambar keburaman"
"Example format: 200x300.","Contoh format: 200x300."
"Image Position","Posisi gambar"
"Attribute Properties","Atribut properti"
"Attribute Label","Lebel atribut"
"Catalog Input Type for Store Owner","Jenis Masukan Katalog untuk Pemilik Toko"
"Values","Nilai-nilai"
"Add this attribute to the list of column options in the product grid.","Tambahkan atribut ini ke daftar opsi kolom di kotak produk."
"Add this attribute to the list of filter options in the product grid.","Tambahkan atribut ini ke daftar opsi filter di kotak produk."
"System","Sistem"
"All Store Views","Semua Tampilan Store"
"Delete selected items?","Hapus item yang dipilih?"
"Delete items","Hapus benda"
"Change status","Ganti Status"
"Enable","Aktifkan"
"Disable","Dinonaktifkan"
"Update attributes","Perbarui Atribut"
"Overview","Ikhtisar"
"Skip to the end of the images gallery","Lewati ke akhir galeri foto"
"Skip to the beginning of the images gallery","Lewati ke awal galeri foto"
"Details","Rincian"
"Recently Compared","Baru saja Dibanding"
"Add To Cart","Masukkan ke keranjang"
"Add To Compare","Tambahkan untuk membandingkan"
"Learn more","Belajarlah lagi"
"Recently Viewed","Baru saja Dilihat"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Anda Yakin ingin menghapus kategori ini?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","dari"
"to","to"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Nilai ini tidak mengikuti format yang ditentukan (misalnya, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Advanced"
