"Save and Continue Edit","保存并继续编辑"
"Catalog Structure","Catalog Structure"
"Catalog Id","Catalog Id"
"Store Id","Store Id"
"Cancel","取消"
"Done","完成"
"Back","返回"
"Delete","删除"
"This action cannot be undone. Are you sure you want to delete this catalog?","This action cannot be undone. Are you sure you want to delete this catalog?"
"Duplicate","Duplicate"
"Linked Products","Linked Products"
"Reset","重置"
"Save","保存"
"Pricing","Pricing"
"Products","产品展示"
"All Stores","所有店铺"
"Shared Catalogs","Shared Catalogs"
"The companies have been reassigned.","The companies have been reassigned."
"Error while reassigning the company.","Error while reassigning the company."
"Discount value cannot be outside the range 0-100","Discount value cannot be outside the range 0-100"
"We found a duplicate website, tier price or quantity.","We found a duplicate website, tier price or quantity."
"The selected items are being processed. You can continue to work in the meantime.","The selected items are being processed. You can continue to work in the meantime."
"The selected changes have been applied to the shared catalog.","The selected changes have been applied to the shared catalog."
"New Shared Catalog","New Shared Catalog"
"The shared catalog was deleted successfully.","The shared catalog was deleted successfully."
"Duplicate of %1","Duplicate of %1"
"You saved the shared catalog.","You saved the shared catalog."
"Something went wrong while saving the shared catalog.","Something went wrong while saving the shared catalog."
"A total of %1 record(s) were deleted.","共有 %1 条记录被删除。"
"No shared catalog name is specified in request.","No shared catalog name is specified in request."
"Requested categories don't exist: %categoriesIds.","Requested categories don't exist: %categoriesIds."
"You cannot unassign a company from the public shared catalog.","You cannot unassign a company from the public shared catalog."
"Customer Groups","客户组"
"Could not set default customer group","Could not set default customer group"
"A customer group with this name already exists. Enter a different name to create a shared catalog.","A customer group with this name already exists. Enter a different name to create a shared catalog."
"Could not save customer group.","Could not save customer group."
"Could not update shared catalog customer group","Could not update shared catalog customer group"
"No such public catalog entity","No such public catalog entity"
"Cannot load product items for shared catalog","Cannot load product items for shared catalog"
"Could not save ProductItem","Could not save ProductItem"
"Cannot delete product with id %1","Cannot delete product with id %1"
"Invalid value of ""%value"" provided for the %fieldName field.","为% fieldName字段提供“% value”的无效值。"
"Cannot delete shared catalog with id %1","Cannot delete shared catalog with id %1"
"Permission with the same scope","具有相同的作用域的权限"
"Assign Categories to Shared Catalog","Assign Categories to Shared Catalog"
"Something went wrong while scheduling operations.","Something went wrong while scheduling operations."
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"Assign custom prices to selected products","Assign custom prices to selected products"
"Something went wrong while processing the request.","在处理请求时出现了问题。"
"Could not save shared catalog.","Could not save shared catalog."
"Custom","自定义"
"Public","私人"
"You must enable category permissions for the following products: %skus.","You must enable category permissions for the following products: %skus."
"Requested product doesn't exist: %sku.","Requested product doesn't exist: %sku."
"No such shared catalog entity","No such shared catalog entity"
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public."
"Requested Shared Catalog is not found","Requested Shared Catalog is not found"
"Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.","Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog."
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class."
"The maximum allowed catalog name length is %1 characters.","The maximum allowed catalog name length is %1 characters."
"A catalog named %catalogName already exists. Please select a different name.","A catalog named %catalogName already exists. Please select a different name."
"You cannot change the customer group for a shared catalog.","You cannot change the customer group for a shared catalog."
"Yes","是"
"No","否"
"Configure","配置"
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","Please <a href=""%1"">create</a> at least a public shared catalog to proceed."
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group."
"Requested product doesn't exist: %1.","Requested product doesn't exist: %1."
"error","错误"
"Exception","Exception"
"Exception message","Exception message"
"test","测试"
"exception message","exception message"
"Some internal exception message.","一些内部异常消息。"
"exception","例外"
"Exception Message","Exception Message"
"All Websites","所有网站"
"Website 3","Website 3"
"Website 1","Website 1"
"Set Pricing and Structure","Set Pricing and Structure"
"Assign Companies","Assign Companies"
"General Settings","一般设置"
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Catalog and Tier Price","Catalog and Tier Price"
"Group or Catalog","Group or Catalog"
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers.","You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers."
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers."
"Next","下一页"
"Edit Configurations","编辑配置"
"Products in Catalog","Products in Catalog"
"Continue to configure the shared catalog structure and pricing.","Continue to configure the shared catalog structure and pricing."
"Store:","Store:"
"Step 2: Set Custom Prices","Step 2: Set Custom Prices"
"Step 1: Select Products for Catalog","Step 1: Select Products for Catalog"
"Website:","Website:"
"Proceed","Proceed"
"Select All","选择全部"
"Deselect All","取消全选"
"Assign","分配"
"Unassign","未分配"
"Fixed","百分之"
"Discount","折扣"
"Apply","应用"
"Proceed to Store Configuration?","Proceed to Store Configuration?"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","You've made changes into the shared catalog. If you leave this page now, the changes will be lost."
"The maximum allowed catalog name length is {0} characters.","The maximum allowed catalog name length is {0} characters."
"Conflicting row.","Conflicting row."
"Generate Catalog","Generate Catalog"
"products","products"
