"Wish List","Önskelista"
"Wish List Sharing","Önskelistadelning"
"My Wish List","Min önskelista"
"%1's Wish List","%1's önskelista"
"Page not found.","Sidan kunde inte hittas."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"You added %1 to your shopping cart.","Du har lagt till %1 i din kundvagn."
"This product(s) is out of stock.","Den här produkten är slut i lager."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 har tagits bort från din önskelista."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Meddelandet får inte överskrida %1 tecken"
"Please enter an email address.","Vänligen fyll i en e-postadress."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"Your wish list has been shared.","Din önskelista har delats."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 har uppdaterats i din önskelista."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 artiklar"
"1 item","1 artikel"
"Comment","Kommentarer"
"Display number of items in wish list","Display number of items in wish list"
"Display item quantities","Visa antal"
"An item option with code %1 already exists.","Ett produktalternativ med koden %1 finns redan."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Product is not salable."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Comment:","Kommentar:"
"We cannot retrieve the Wish List.","We cannot retrieve the Wish List."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Produkten finns inte."
"Test Phrase","Test fras"
"message","meddelande"
"Message","Meddelande"
"error-message","error-message"
"LocalizedException","LocalizedException"
"Product Exception.","Product Exception."
