"Percent Discount","Prosent rabatt"
"-- Select --","-- Velg --"
"Dynamic","Dynamisk"
"Fixed","Fast"
"Create New Option","Opprette nytt alternativ"
"Bundle Items","Pakke-elementer"
"Add Products to Option","Legge til produkter i alternativet"
"Close","Lukk"
"Delete Option","Slett alternativet"
"What are you looking for?","Hva leter du etter?"
"ID","ID"
"Product","Produkt"
"SKU","Varenummer"
"Price","Pris"
"Delete","Slett"
"Use Default Value","Bruk standardverdi"
"There is no defined renderer for ""%1"" option type.","Det er ingen definert renderer for alternativtypen ""%1""."
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"Could not save child: ""%1""","Kunne ikke lagre barn: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Product with specified sku: ""%1"" does not contain option: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Child with specified sku: ""%1"" already assigned to product: ""%2"""
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
"Price Range","Prisområde"
"As Low as","Så lav som"
"Together","Sammen"
"Separately","Separat"
"Please specify product option(s).","Please specify product option(s)."
"The options you selected are not available.","Alternativet du har valgt er ikke tilgjengelig."
"The required options you selected are not available.","De nødvendige alternativene du har valgt er ikke tilgjengelig."
"Please select all required options.","Vennligst velg alle nødvendige alternativ."
"Option type (%types) should have only one element.","Option type (%types) should have only one element."
"We can't add this item to your shopping cart right now.","Vi kan ikke legge produkt til handlekurven akkurat nå."
"Product relations processor must implement %1.","Product relations processor must implement %1."
"N/A","I/T"
"Percent","Prosent"
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing."
"Cancel","Avbryt"
"Add Selected Products","Legg til merkede produkter"
"Add Option","Legg til alternativ"
"New Option","Nytt alternativ"
"Option Title","Alternativtittel"
"Default Title","Standard tittel"
"Store View Title","Butikk se tittel"
"Input Type","Inndatatype"
"Drop-down","Rullegardin"
"Radio Buttons","Radioknapper"
"Checkbox","Avkryssingsboks"
"Multiple Select","Merk flere"
"Required","Kreves"
"Is Default","Er standard"
"Name","Navn"
"Default Quantity","Standard antall"
"User Defined","Brukerdefinerte"
"Price Type","Pristype"
"None","Ingen"
"Quantity:","Antall:"
"Choose a selection...","Velg et utvalg..."
"Ship Bundle Items","Send pakke-elementer"
"Position","Posisjon"
"There are no products in this option.","Det finnes ingen produkter i dette alternativet."
"Default","Standard"
"Ordered","Bestilt"
"Invoiced","Fakturert"
"Shipped","Sendt"
"Refunded","Refundert"
"Canceled","Avbrutt"
"Regular Price","Vanlig pris"
"As low as","Så lav som"
"From","Fra"
"To","Til"
"Buy %1 with %2 discount each","Kjøp %1 med %2 rabatt hver"
"Go back to product details","Tilbake til Produktdetaljer"
"Customize and Add to Cart","Tilpasse og legg til handlekurv"
"* Required Fields","* Nødvendige felt"
"Your Customization","Nettstedstilpasning"
"Availability","Tilgjengelighet"
"In stock","På lager"
"Out of stock","Ikke på lager"
"Summary","Sammendrag"
"%1 x %2","%1 x %2"
"Availability:","Tilgjengelighet:"
"Quantity","Antall"
"Customize %1","Tilpass %1"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"Gift Message","Gavemelding"
"From:","Fra:"
"To:","Til:"
"Message:","Melding:"
"Product Name","Produktnavn"
"Subtotal","Delsum"
"Discount Amount","Rabattbeløp"
"Row Total","Rader Totalt"
"Qty Invoiced","Antall fakturert"
"Qty Shipped","Antall sendt"
"Add Products to New Option","Legge produkter til nytt alternativ"
"Add Products to Option ""%1""","Legge til produkter i alternativ ""%1"""
"Select...","Velg..."
"Status","Status"
"Thumbnail","Miniatyrbilde"
"Type","Type"
"Special Price","Special Price"
