"Percent Discount","Prosent rabatt"
"-- Select --","-- Velg --"
"Dynamic","Dynamisk"
"Fixed","Fast"
"Create New Option","Opprette nytt alternativ"
"Bundle Items","Pakke-elementer"
"Add Products to Option","Legge til produkter i alternativet"
"Close","Lukk"
"Delete Option","Slett alternativet"
"What are you looking for?","Hva leter du etter?"
"ID","ID"
"Product","Produkt"
"SKU","Varenummer"
"Price","Pris"
"Delete","Slett"
"Use Default Value","Bruk standardverdi"
"There is no defined renderer for ""%1"" option type.","Det er ingen definert renderer for alternativtypen ""%1""."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","Kunne ikke lagre barn: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Produkt med angitt sku: ""%1"" inneholder ikke alternativ: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Sku: ""%1"" er allerede tildelt produkt: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","Prisområde"
"As Low as","Så lav som"
"Together","Sammen"
"Separately","Separat"
"Please specify product option(s).","Angi alternativ(er) for produktet."
"The options you selected are not available.","Alternativet du har valgt er ikke tilgjengelig."
"The required options you selected are not available.","De nødvendige alternativene du har valgt er ikke tilgjengelig."
"Please select all required options.","Vennligst velg alle nødvendige alternativ."
"We can't add this item to your shopping cart right now.","Vi kan ikke legge produkt til handlekurven akkurat nå."
"N/A","I/T"
"Percent","Prosent"
"We can't save custom-defined options for bundles with dynamic pricing.","Vi kan ikke lagre tilpasningsdefinerte alternativer for pakker med dynamisk prising."
"Cancel","Avbryt"
"Add Selected Products","Legg til merkede produkter"
"Add Option","Legg til alternativ"
"New Option","Nytt alternativ"
"Option Title","Alternativtittel"
"Default Title","Standard tittel"
"Store View Title","Butikk se tittel"
"Input Type","Inndatatype"
"Drop-down","Rullegardin"
"Radio Buttons","Radioknapper"
"Checkbox","Avkryssingsboks"
"Multiple Select","Merk flere"
"Required","Kreves"
"Is Default","Er standard"
"Name","Navn"
"Default Quantity","Standard antall"
"User Defined","Brukerdefinerte"
"Price Type","Pristype"
"None","Ingen"
"Quantity:","Antall:"
"Choose a selection...","Velg et utvalg..."
"Ship Bundle Items","Send pakke-elementer"
"Position","Posisjon"
"There are no products in this option.","Det finnes ingen produkter i dette alternativet."
"Default","Standard"
"Ordered","Bestilt"
"Invoiced","Fakturert"
"Shipped","Sendt"
"Refunded","Refundert"
"Canceled","Avbrutt"
"As low as","Så lav som"
"Regular Price","Vanlig pris"
"From","Fra"
"To","Til"
"Buy %1 with %2 discount each","Kjøp %1 med %2 rabatt hver"
"Go back to product details","Tilbake til Produktdetaljer"
"Customize and Add to Cart","Tilpasse og legg til handlekurv"
"* Required Fields","* Nødvendige felt"
"Your Customization","Nettstedstilpasning"
"Availability","Tilgjengelighet"
"In stock","På lager"
"Out of stock","Ikke på lager"
"Summary","Sammendrag"
"%1 x %2","%1 x %2"
"Availability:","Tilgjengelighet:"
"Quantity","Antall"
"Customize %1","Tilpass %1"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"Gift Message","Gavemelding"
"From:","Fra:"
"To:","Til:"
"Message:","Melding:"
"Product Name","Produktnavn"
"Subtotal","Delsum"
"Discount Amount","Rabattbeløp"
"Row Total","Rader Totalt"
"Qty Invoiced","Antall fakturert"
"Qty Shipped","Antall sendt"
"Add Products to New Option","Legge produkter til nytt alternativ"
"Add Products to Option ""%1""","Legge til produkter i alternativ ""%1"""
"Select...","Velg..."
"Status","Status"
"Thumbnail","Miniatyrbilde"
"Type","Type"
"Special Price","Spesialpris"
"This is implemented for bundle products only.","Dette er implementert kun for buntprodukter."
"The product with the ""%1"" SKU isn't a bundle product.","Produktet med ""%1"" SKU er ikke en pakke."
"The bundle product can't contain another composite product.","Pakkeproduktet kan ikke inneholde et annet komposittprodukt."
"The product link needs an ID field entered. Enter and try again.","Produktlinken trenger et ID-felt angitt. Angi og prøv på nytt."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","Klarte ikke finne regelen med ID ""%1"". Valider IDen og prøv igjen."
"The bundle product doesn't exist. Review your request and try again.","Pakkeproduktet finnes ikke. Se gjennom forespørselen og prøv på nytt."
"The option that was requested doesn't exist. Verify the entity and try again.","Forespurt alternativ eksisterer ikke. Verifiser at dette eksisterer og prøv igjen."
"The option couldn't be saved.","Alternativet kunne ikke bli lagret."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" må fylles ut. Skriv inn og prøv på nytt."
"The option with ""%1"" ID can't be deleted.","Alternativet med ""%1"" ID kan ikke slettes."
