"Google Analytics Enhanced Ecommerce Settings","Google Analytics Enhanced Ecommerce indstillinger"
"Send to Google","Send til Google"
"Yes","Ja"
"No","Nej"
"Creative","Kreativ"
"Universal Analytics","Universal Analytics"
"Google Tag Manager","Google Tag Manager"
"Google Analytics","Google Analytics"
"Account type","Account type"
"Container Id","Container Id"
"List property for the catalog page","List property for the catalog page"
"List property for the cross-sell block","List property for the cross-sell block"
"List property for the up-sell block","List property for the up-sell block"
"List property for the related products block","List property for the related products block"
"List property for the search results page","List property for the search results page"
"’Internal Promotions’ for promotions field “Label”.","’Internal Promotions’ for promotions field “Label”."
