"Billing Agreements","Acorduri facturare"
"The billing agreement ""%1"" has been created.","Acordul de facturare ""%1"" a fost creat."
"We couldn't finish the billing agreement wizard.","Expertiza acordului de facturare nu a fost finalizată."
"We can't start the billing agreement wizard.","Nu se poate începe expertiza acordului de facturare."
"Billing Agreement # %1","Acord de facturare # %1"
"We can't initialize Express Checkout.","Checkout expres nu poate fi inițializat."
"PayPal Express Checkout Token does not exist.","Simbolul Checkout Expres PayPal nu există."
"A wrong PayPal Express Checkout Token is specified.","Un simbol greșit Checkout Expres PayPal este specificat."
"Express Checkout and Order have been canceled.","Checkout-ul Expres și Comanda au fost anulate."
"Express Checkout has been canceled.","Checkout-ul Expres a fost anulat."
"Unable to cancel Express Checkout","Imposibil de anulat Checkout Expres."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","Nu se poate procesa aprobarea Checkout Expres."
"We can't initialize Express Checkout review.","Nu se poate inițializa revizuirea Checkout Expres."
"We can't update shipping method.","Metoda de livrare nu poate fi actualizată."
"We can't start Express Checkout.","Nu se poate începe Checkout Expres."
"To check out, please sign in with your email address.","Pentru check out, conectați-vă cu adresa dumneavoastră de email."
"Sorry, but something went wrong","Sorry, but something went wrong"
"Your payment has been declined. Please try again.","Plata dumneavoastră a fost refuzată. Incercați din nou."
"Requested payment method does not match with order.","Requested payment method does not match with order."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Doriți să semnați un acord de facturare la direcția de viitoare achiziții cu PayPal?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Payment Gateway is unreachable at the moment. Please use another payment option."
"PayPal response hasn't required fields.","Răspunsul Paypal nu are câmpuri obligatorii."
"Something went wrong while processing your order.","A avut loc o eroare la procesarea comenzii dumneavoastră."
"PayPal gateway has rejected request. %1","Gateway-ul PayPal a refuzat solicitarea. %1"
"The PayPal gateway rejected the request. %1","Gateway-ul PayPal a refuzat solicitarea. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Ne pare rău - dar comanda dumneavoastră nu s-a putut procesa. încercați o altă modalitate de plată sau contactați-ne pentru asistență."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Ne pare rău - dar tranzacția dumneavoastră nu s-a putut finaliza. Contactați-ne pentru asistență."
"A match of the Shipping Address City, State, and Postal Code failed.","A match of the Shipping Address City, State, and Postal Code failed."
"We can't place the order.","Nu se poate plasa comanda."
"The payment method code is not set.","Codul modalității de plată nu este setat."
"The reference ID is not set.","ID-ul de referință nu este setat"
"Unable to save Billing Agreement:","Imposibil de salcat Acordul de Facturare:"
"Active","Activ"
"Canceled","Anulat"
"The customer ID is not set.","ID-ul de client nu este setat."
"The Billing Agreement status is not set.","Statusul Acordului de facturare nu este setat."
"The PayPal certificate does not exist.","Certificatul PayPal nu există."
"We prefer PayPal (150 X 60)","Preferăm PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Preferăm PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Nu se acceptă PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Nu se acceptă PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Plăți prin PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Plăți prin PayPal (150 X 40)"
"Shop now using (150 X 60)","Cumpărați acum folosind (150 X 60)"
"Shop now using (150 X 40)","Cumpărați acum folosind (150 X 40)"
"Dynamic","Dinamic"
"Static","Static"
"Shortcut","Scurtătură"
"Acceptance Mark Image","Imagine marcă de accept"
"Authorization","Autorizație"
"Sale","Vânzare"
"Yes","Da"
"No","Nu"
"For Virtual Quotes Only","Doar pentru mențiuni virtuale"
"Auto","Auto"
"Ask Customer","întreabă client"
"Never","Niciodată"
"IPN (Instant Payment Notification) Only","Doar NPI (Notificare Plată Instant)"
"API Signature","Semnătură API"
"API Certificate","Certificat API"
"The maximum number of child authorizations is reached.","S-a atins numărul maxim de autorizații secundare."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Vom autoriza cantitatea de %1 de îndată ce este aprobată de gateway-ul de plată."
"The authorized amount is %1.","Cantitatea autorizată este de %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal nu poate procesa comenzile cu sold debitor zero. Pentru a finaliza achiziția, parcurgeți procesul standard de checkout."
"A payer is not identified.","Un plătitor nu este identificat."
"Cannot get secure form URL from PayPal","Nu se poate obține un formular URL sigur de la PayPal"
"Last Transaction ID","Ultimul ID de tranzacție"
"This customer didn't include a confirmed address.","Clintul nu a inclus o adresă confimată."
"The payment is authorized but not settled.","Plata este autorizată dar nu este stabilită."
"The payment eCheck is not cleared.","Plata eCheck nu este eliminată."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Comerciantul deține un cont non SUA și nu are un mecanism de retragere."
"The payment currency doesn't match any of the merchant's balances currency.","Moneda de plată nu coincide cu moneda de bilanț a comerciantului."
"The payment is pending while it is being reviewed by PayPal for risk.","Plata este în așteptare în timp ce este revizuită pentru risc de către PayPal."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Plata este în așteptare deoarece este făcută de o adresă de email care nu este încă înregistrată sau confirmată."
"The merchant account is not yet verified.","Contul comerciantului nu este încă verificat."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Plata s-a realizat prin card de credit. Pentru a primi fonfurile, comerciantul trebuie să-și actualizeze contul la statusul Business sau Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Ne pare rău, dar a avut loc o eroare. Contactați Serviciul de relații clienți PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A avut loc o inversare la această tranzacție din cauza unei stornări efectuate de clientul dumneavoastră."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A avut loc o inversare la această tranzacție din cauza declanșării unei garanții banii-înapoi de către clientul dumneavoastră."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A avut loc o inversare la această tranzacție din cauza unei plângeri asupra tranzacției de către clientul dumneavoastră."
"A reversal has occurred on this transaction because you have given the customer a refund.","A avut loc o inversare la această tranzacție deoarece i-ați făcut clientului o restituire."
"Reversal of an adjustment.","Inversarea unei ajustări."
"Transaction reversal due to fraud detected by PayPal administrators.","Inversare tranzacție din cauza unei fraude detectate de către administratorii PayPal."
"Transaction reversal by PayPal administrators.","Inversare tranzacție de către administratorii PayPal."
"Reimbursement for a chargeback.","Despăgubire pentru stornare."
"Settlement of a chargeback.","Stabilire stornare."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A avut loc o inversare la această tranzacție din cauza unei contestații a clientului care suspectează o imitare neautorizată."
"Buyer claims that he did not receive goods or service.","Cumpărătorul pretinde că nu a primit bunuri sau servicii."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Cumpărătorul pretinde că el/ea nu a autorizat tranzacția."
"A case that has been resolved and close requires a reimbursement.","Un caz care a fost rezolvat și închis necesită o despăgubire."
"Buyer claims that a possible duplicate payment was made to the merchant.","Cumpărătorul pretinde că o posibilă plată dublată a fost făcută comerciantului."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Cumpărătorul pretinde că marfa primită este nesatisfăcătoare, defectă sau deteriorată."
"Unknown reason. Please contact PayPal customer service.","Motiv necunoscut. Contactați serviciul de relații clienți PayPal."
"Payer ID","ID plătitor"
"Payer Email","Email plătitor"
"Payer Status","Status plătitor"
"Payer Address ID","ID adresă plătitor"
"Payer Address Status","Status adresă plătitor"
"Merchant Protection Eligibility","Eligibilitate protecție comerciant"
"Triggered Fraud Filters","Filtre de fraudă declanșate"
"Last Correlation ID","Ultumul ID de corelație"
"Address Verification System Response","Răspuns sistem pentru verificare adresă"
"CVV2 Check Result by PayPal","Verifică rezultatul CVV2 prin PayPal"
"AVS Street Match","Potrivire stradă AVS"
"AVS zip","Cod AVS"
"International AVS response","Răspuns AVS Internațional"
"Buyer's Tax ID","ID taxe cumpărător"
"Buyer's Tax ID Type","Tip ID taxe cumpărător"
"Chargeback","Stornare"
"Complaint","Plângere"
"Dispute","Contestație"
"Matched Address only (no ZIP)","Numai adrese potrivite (fără cod poștal)"
"Matched Address only (no ZIP) International","Numai adrese potrivite (fără cod poștal) Internațional"
"No Details matched","Nici un detaliu potrivit"
"No Details matched. International","Nici un detaliu nu se potrivește. Internațional"
"Exact Match.","Potrivire exactă."
"Exact Match. Address and Postal Code. International","Potrivire exactă. Adresă și Cod Poștal. Internațional"
"Exact Match. Address and Postal Code. UK-specific","Potrivire exactă. Adresă și Cod Poștal. Specific UK"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Nu este permis pentru tranzacții MOTO (Internet/Telefon)"
"N/A. Global Unavailable","N/A. Nu este disponibil la nivel global"
"N/A. International Unavailable","N/A. Nu este disponibil la nivel internațional"
"Matched five-digit ZIP only (no Address)","Numai cod poștal de cinci cifre potrivit (fără adresă)"
"Matched Postal Code only (no Address)","Doar codul poștal potrivit (fără adresă)"
"N/A. Retry","N/A. Reîncercați"
"N/A. Service not Supported","N/A. Serviciu neacceptat"
"N/A. Unavailable","N/A. Indisponibil"
"Matched whole nine-digit ZIP (no Address)","Matched whole nine-digit ZIP (no Address)"
"Yes. Matched Address and five-digit ZIP","Yes. Matched Address and five-digit ZIP"
"All the address information matched","Toate informațiile de adresă coincid"
"None of the address information matched","Nici o informație de adresă nu coincide"
"Part of the address information matched","O parte din informațiile de adresă coincid"
"N/A. The merchant did not provide AVS information","N/A. Comerciantul nu a furnizat infirmații AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresa neverificată sau achizitorul nu a avut nici un răspuns. Serviciu indisponibil."
"Matched (CVV2CSC)","Potrivit (CVV2CSC)"
"No match","Nu coincide"
"N/A. Not processed","N/A. Neprocesat"
"N/A. Service not supported","N/A. Serviciu neacceptat"
"N/A. Service not available","N/A. Serviciu indisponibil"
"N/A. No response","N/A. Nici un răspuns"
"Matched (CVV2)","Portivit (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Comerciantul nu a implementat manipularea de cod CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Comerciantul a indicat că CVV2 nu este pe card"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Card de credit"
"ending","ending"
"expires","expires"
"Note: %1","Notă: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Tip caz ""%2"". ID caz ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". O contestașie a fost rezolvată sau închisă. %2 Sumă tranzacție %3."
"You notified customer about invoice #%1.","Ați informat clientul asupra facturii #%1."
"We cannot cancel this order.","Nu se poate anula comanda."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Sumă tranzacție %3. ID tranzacție: ""%4"""
"You notified customer about creditmemo #%1.","Ați informat clientul asupra notei de credit #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Debit plată PNREF: #%1."
"Unable to fetch transaction details.","Imposibil de accesat detaliile tranzacției."
"Invalid method %1::%2","Invalid method %1::%2"
"Transaction has been declined","Tranzacția a fost refuzată"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","Nu putem trimite email-ul pentru noua comandă."
"Payment error. %value was not found.","Payment error. %value was not found."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","Aveți nevoie de o tranzacție de autorizare pentru anulare."
"We can't issue a refund transaction because there is no capture transaction.","Nu se poate emite o tranzacție de restituire deoarece nu există nici o tranzacție captată."
"We cannot create a target file for reading reports.","Nu se poate crea un fișier-țintă pentru citirea rapoartelor."
"Report Date","Dată aport"
"Merchant Account","Cont comerciant"
"Transaction ID","ID tranzacție"
"Invoice ID","ID factură"
"PayPal Reference ID","ID de referință PayPal"
"PayPal Reference ID Type","Tip ID de referință PayPal"
"Event Code","Cod eveniment"
"Event","Eveniment"
"Start Date","Dată de început"
"Finish Date","Dată de sfârșit"
"Debit or Credit","Debit sau Credit"
"Gross Amount","Sumă brută"
"Fee Debit or Credit","Taxă de Debit sau Credit"
"Fee Amount","Sumă taxă"
"Custom","Presonalizat"
"Order ID","ID comandă"
"Preapproved Payment ID","ID plată pre-aprobat"
"Subscription ID","ID abonare"
"Credit","Credit"
"Debit","Debit"
"ACH Deposit (Hold for Dispute or Other Investigation)","Depozit ACH (Păstrați pentru Contestații sau Alte Investigații)"
"ACH Deposit (Reversal)","Depozit ACH (Inversare)"
"ACH Funding for Funds Recovery from Account Balance","Finanțare ACH pentru recuperarea fondurilor din bilanțul contului"
"ACH Withdrawal","Retragere ACH"
"Account-to-Account Payment, initiated by PayPal","Plată Cont-la-Cont, initiațiată de PayPal"
"Auction Payment other than through eBay","Licitație de plată, altfel decât prin eBay"
"AutoSweep","AutoSweep"
"Available Balance","Bilanț disponibil"
"Balance Manager Account Bonus","Bilanț bonus cont manager"
"Bonus for first ACH Use","Bonus pentru prima folosire ACH"
"Buyer Credit Payment","Plată credit cumpărător"
"Charge-off","Charge-off"
"Coupon Redemption","Răscumpărare cupon"
"Currency Conversion required to cover negative balance","Conversie monedă necesară pentru acoperirea bilanțului negativ"
"Debit Card Cash Back","Stornare card debit"
"Debit Card Transaction","Tranzacție card debit"
"Direct Payment API","Plată directă API"
"EFT Funding (German banking)","Finanțare EFT (bancă Germană)"
"Express Checkout APIs","Checkout Expres API-uri"
"Fee Reversal","Inversare taxă"
"Fee: Foreign ACH Withdrawal","Taxă: Retragere ACH externă"
"Fee: Mass Pay Request","Taxă: Solicitare plată în masă"
"Fee: Web Site Payments Pro Account Monthly","Taxă: Plăți Web Site Pro Cont Lunare"
"Fee: WorldLink Check Withdrawal","Taxă: Retragere cec Wordlink"
"Funding","Finanțare"
"General (Authorization)","General (Authorizare)"
"General (Dividend)","General (Divident)"
"General (Funds Transfer from PayPal Account to Another)","General (Transfer de fonduri de la PayPal către Altele)"
"General (Purchase with a credit card)","General (Achiziție cu card de credit)"
"General Adjustment without businessrelated event","Ajustare Genrală fără eveniment legat de afaceri"
"General Currency Conversion","Conversie generală monedă"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","Răscumpărare generală"
"General Withdrawal from PayPal Account","Retragere generală din contul PayPal"
"General. Product no longer supported","General. Produsul nu mai este acceptat"
"General: Use of PayPal account for purchasing as well as receiving payments","General: folosirea contului PayPal pentru achiziționare, precum și pentru primirea plăților"
"General: Withdrawal from PayPal Account","General: Retragere din contul PayPal"
"General: Withdrawal to Non-Bank Entity","General: Retragere într-o entitate non bancară"
"General: adjustment of a type not belonging to the other T12xx categories","General: ajustarea unui tip care nu apar'ine celorlalte categorii T12xx"
"General: bonus of a type not belonging to the other T08xx categories","General: bonusul unui tip care nu apar'ine celorlalte categorii T08xx"
"General: event not yet categorized","General: eveniment încă neclasificat"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: taxă non plată pentru un tip care nu aparține celorlalte categorii T01xx"
"General: received payment of a type not belonging to the other T00xx categories","General: plată primită pnetru un tip care nu aparține celorlalte categorii T00xx"
"General: reversal of a type not belonging to the other T11xx categories","General: inversarea unui tip care nu aparține celorlalte categorii T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","General: reținere temporară a unui tip care nu aparține celorlalte categorii T15xx"
"Gift Certificate Payment: purchase of Gift Certificate","Plată certificat cadou: achiziționate certificat cadou"
"Gift Certificate Redemption","Răscumpărare certificat cadou"
"Hidden Virtual PayPal Debit Card Transaction","Tranzacție virtuală ascunsă prin cardul de debit PayPal"
"Hold for Dispute Investigation","Reținere pentru investigații contestație"
"Incentive","Stimulent"
"Mass Pay Payment","Plată în masă"
"Merchant Referral Bonus","Bonus sesizare comerciant"
"Mobile Payment (made via a mobile phone)","Plată telefonică (prin telefonul mobil)"
"Negative Balance","Bilanț negativ"
"Open Authorization","Autorizație deschisă"
"PayPal Balance Manager function of PayPal account","Funcție manager bilanț PayPal a contului PayPal"
"PayPal Buyer Warranty Bonus","Bonus PayPal pentru certificatul de garanție al clientului"
"PayPal Debit Card Cash Advance","Avans card de debit PayPal"
"PayPal Debit Card Withdrawal from ATM","Retragere ATM card de debit PayPal"
"PayPal Protection Bonus","Bonus Protecție PayPal"
"Payment Refund initiated by merchant","Restituire plată inițiată de comerciant"
"Points Incentive Redemption","Răscumpărare puncte stimulent"
"Postage Payment to either USPS or UPS","Plată expediere prin poștă către USPS sau UPS"
"Preapproved Payment (BillUser API, either sent or received","Plată pre-aprobată (BillUser API, trimis sau primit)"
"Reauthorization","Reautorizare"
"Reimbursement of Chargeback","Despăgubire stornare"
"Reversal","Inversare"
"Reversal of General Account Hold","Inversare a reținerii generale a contului"
"Reversal of Points Usage","Inversare utilizare puncte"
"Reversal of hold for Dispute Investigation","Inversarea reținerii pentru investigații ale contestațiilor"
"Reward Voucher Redemption","Răscumpărare bon răsplată"
"Settlement Consolidation","Consolidare acord"
"Subscription Payment, either payment sent or payment received","Plată abonare, plată trimisă sau plată primită"
"User-initiated Currency Conversion","Conversie monedă inițiată de utilizator"
"Virtual PayPal Debit Card Transaction","Tranzacție virtuală card de debit PayPal"
"Virtual Terminal Payment","Plată terminal virtuală"
"Void","Anulare"
"WorldLink Withdrawal","Retragere WorldLink"
"eBay Auction Payment","Paltă licitație eBay"
"The PayPal certificate file is empty.","Fișierul certificatului PayPal este gol."
"Header (center)","Antet (centru)"
"Sidebar (right)","Bară laterală (dreapta)"
"Near PayPal Credit checkout button","Butonul apropiat de checkout credit PayPal."
"--Please Select--","-- Selectați --"
"Daily","Zilnic"
"Every 3 days","La fiecare 3 zile"
"Every 7 days","La fiecare 7 zile"
"Every 10 days","La fiecare 10 zile"
"Every 14 days","La fiecare 14 zile"
"Every 30 days","La fiecare 30 zile"
"Every 40 days","La fiecare 40 zile"
"No Logo","Fără logo"
"Yes (PayPal recommends this option)","Da (PayPal recomandă această opțiune)"
"Created billing agreement #%1.","Se creează acordul de facturare #%1."
"We can't create a billing agreement for this order.","Nu se poate crea un acord de facturare pentru această comandă."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","PayPal în așteptare"
"PayPal Reversed","PayPal inversat"
"PayPal Canceled Reversal","Inversare PayPal anulată"
"Error","Eroare"
"Billing Agreement","Acord de facturare"
"Please Select","Selectați"
"Customer","Client"
"Created At","Creat la"
"Updated At","Actualizat la"
"Not sure what PayPal payment method to use? Click ","Not sure what PayPal payment method to use? Click "
"here","aici"
" to learn more."," to learn more."
"Important: ","Important: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","Pentru folosirea plăților avansate PayPal, trebuie să vă configurați contul de plăți avansate PayPal pe website-ul PayPal."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Odată conectat la contul avansat PayPal, mergeți la Setări Servicii - Pagini checkout găzduite - Setare meniu și setați opțiunile descrise mai jos"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Pentru a folosi link-ul pentru debitul de plată PayPal, trebuie să vă configurați contul link al debitului de plată PayPal pe website-ul PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Odată conectat la contul Link Paltă Debit PayPal, mergeți la Setări Servicii - Pagini Checkout Găzduite - Setare meniu și setați opțiunile descrise mai jos"
"Credit Card Type","Tip card de credit"
"Credit Card Number","Număr card de credit"
"Expiration Date","Dată expirare"
"Card Verification Number","Număr verificare card"
"Billing Agreement # ","Billing Agreement # "
"Agreement Information","Informații acord"
"Reference ID:","ID referință:"
"Status:","Status:"
"Created:","Creat:"
"Updated:","Actualizat:"
"Payment Method:","Modalitate de plată:"
"Order #","Comanda #"
"Date","Dată"
"Ship To","Adresă livrare"
"Order Status","Status comandă"
"View Order","Vizualizare Comandă"
"Back to Billing Agreements","înapoi la acordurile de facturare"
"Payment Method","Modalitate plată"
"View","Vizualizare"
"There are no billing agreements yet.","Nu există încă acorduri de facturare"
"New Billing Agreement","Acord de facturare nou"
"You will be redirected to the payment system website.","Veți fi redirecționat la website-ul de plăți sistem"
"-- Please Select --","-- Selectați --"
"Create...","Creați..."
"Your credit card will be charged for","Din cardul dumneavoastră de credit se va retrage suma"
"Your billing agreement # is: ","Your billing agreement # is: "
"Shipping Method","Modalitate livrare"
"Please select a shipping method...","Selectați o modalitate de livrare..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","Ne pare rău, momentan, nici o mențiune nu este disponibilă pentru această comandă."
"Shipping Address","adresa de livrare"
"Edit","Editare"
"Buy now with PayPal","Cumpărați acum cu PayPal"
"Edit Payment Information","Modificați Informații plată"
"Items in Your Shopping Cart","Articole în coșul dumneavoastră de cumpărături"
"Edit Shopping Cart","Editare coș de cumpărături"
"Place Order","Plasează comandă"
"Submitting order information...","Se trimit informațiile comenzii..."
"Item","Articol"
"Price","Preț"
"Qty","Cantitate"
"Subtotal","Subtotal"
"Please update order data to get shipping methods and rates","Actualizați informațiile comenzii pentru a obține modalitățile de plată și ratele"
"or","sau"
"Checkout with PayPal","Checkout cu PayPal"
"Please do not refresh the page until you complete payment.","Nu reîmprospătați pagina înainte de a finaliza plata."
"You will be required to enter your payment details after you place an order.","Vi se vor solicita detaliile de plată după ce veți plasa o comandă"
"Continue","Continuați"
"Additional Options","Opțiuni suplimentare"
"-- Please Select Billing Agreement--","-- Selectați Acordul de Facturare --"
"Acceptance Mark","Marcă de accept"
"What is PayPal?","Ce este PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Sign a billing agreement to streamline further purchases  with PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Semnați un acord de facturare la direcția de viitoare achiziții cu PayPal."
"Continue to PayPal","Continue to PayPal"
"Save credit card information for future use.","Save credit card information for future use."
"Sorry, something went wrong.","Ne pare rău, a avut loc o eroare."
"Sorry, something went wrong. Please try again later.","Ne pare rău, a avut loc o eroare. încercați din nou mai târziu."
"PayPal Section","PayPal Section"
"PayPal Settlement","PayPal Settlement"
"Fetch","Accesare"
"Actions","Actiuni"
"Manage","Gestionați"
"Place Order Using Billing Agreements","Place Order Using Billing Agreements"
"Orders","Comezi"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","Locație comerciant"
"Merchant Country","#ERROR!"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","Recommended Solutions:"
"Other PayPal Payment Solutions:","Other PayPal Payment Solutions:"
"Other Payment Methods:","Other Payment Methods:"
"PayPal Express Checkout","Checkout Expres PayPal"
"Add another payment method to your existing solution or as a stand-alone option.","Adăugați o altă modalitate de plată la soluția existentă sau ca opțiune de sine stătătoare."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Choose a secure bundled payment solution for your business.","Alegeți o soluție de plată pachet sigură pentru afacerea dumneavoastră."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Plăți Pro și Checkout Expres"
"Basic Settings - PayPal Payments Pro","Setări de bază - Plăți Pro PayPal"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Soluții de plată toate într-unul PayPal&nbsp;&nbsp;<i> Acceptați și procesați cardurile de credit și plățile PayPal.</i>"
"Accept payments with a completely customizable checkout page.","Acceptați plăți cu o pagină de checkout care poate fi personalizată complet."
"Process payments using your own internet merchant account.","Procesați plățile folosind propriul dumneavoastră cont de comerciant pe internet."
"Website Payments Pro","Website Payments Pro"
"Express Checkout","Checkout Expres"
"Add PayPal as an additional payment method to your checkout page.","Adăugați PayPal ca modalitate suplimentară de plată la pagina dumneavoastră de checkout."
"Required PayPal Settings","Setări Necesare PayPal"
"Email Associated with PayPal Merchant Account (Optional)","Email asociat cu Contul de Comerciant PayPal (Opțional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">începeți acceptarea plăților prin PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Nu aveți un cont PayPal? Introduceți adresa dumneavoatrsă de email aici."
"API Authentication Methods","Modalități autentificare API"
"API Username","Nume utilizator API"
"API Password","Parolă API"
"Get Credentials from PayPal","Obțineți credențiale de la PayPal"
"Sandbox Mode","Mod Sandbox"
"API Uses Proxy","API utilizează Proxy"
"Proxy Host","Gazdă Proxy"
"Proxy Port","Port Proxy"
