"Related Search Terms","Skyld leitunarorð"
"Add New Search Term","Add New Search Term"
"button_label","button_label"
"Missing search engine parameter.","Missing search engine parameter."
"Successful! Test again?","Successful! Test again?"
"Connection failed! Test again?","Connection failed! Test again?"
"Enable Search Recommendations","Enable Search Recommendations"
"When you enable this option your site may slow down.","When you enable this option your site may slow down."
"Search Recommendations Count","Search Recommendations Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Enable Search Suggestions","Enable Search Suggestions"
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count for Each Suggestion","Show Results Count for Each Suggestion"
"Related search terms","Skyld leitunarorð"
"Did you mean","Did you mean"
"ID","ID"
"Search Query","Leitarorð"
"Store","Store"
"Results","Results"
"Uses","Notar"
"Redirect URL","Redirect URL"
"Suggested Term","Suggested Term"
"Yes","Yes"
"No","No"
"Action","Aðgerð"
"Edit","Edit"
"Synonym","Synonym"
