"Move to Archive","Move to Archive"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Credit Memos"
"Invoices","Invoices"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","訂單"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Shipments"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Archive"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Add"
"Sales Archive","Sales Archive"
"All Store Views","所有店面"
"Purchased From","Purchased From"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Credit Memo"
"Created","Created"
"Order","訂單"
"Order Date","Order Date"
"Bill-to Name","Bill-to Name"
"Status","狀態"
"Refunded","已退款"
"Order Status","Order Status"
"Billing Address","賬單地址"
"Shipping Address","Shipping Address"
"Customer Name","Customer Name"
"Email","電郵"
"Customer Group","Customer Group"
"Payment Method","Payment Method"
"Shipping Information","Shipping Information"
"Subtotal","小計"
"Shipping & Handling","Shipping & Handling"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","總計"
"Return to Order Management","Return to Order Management"
"Purchase Point","Purchase Point"
"Cancel","取消"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","編號"
"Purchase Date","Purchase Date"
"Ship-to Name","Ship-to Name"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","Shipping and Handling"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF Invoices"
"Invoice","發票"
"Invoice Date","Invoice Date"
"Order #","Order #"
"Amount","金額"
"PDF Shipments","PDF Shipments"
"Shipment","裝運"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
