"Add Tax","Añadir impuestos"
"Delete Tax","Eliminar impuesto"
"All Websites","Todos sitios web"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","Debe establecer combinaciones únicas de estado - país en el mismo impuesto fijo producto"
"Including FPT only","Includir sólo FPT"
"Including FPT and FPT description","Includir impuestos y descripción de los impuestos"
"Excluding FPT. Including FPT description and final price","Excluyendo el FPT. Incluyendo Descripción de FPT y el precio final"
"Excluding FPT","Excluido FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Impuesto fijo del artículo"
"Country/State","País/Estado federado"
"Tax","Impuestos"
"Website","Página web"
"Action","Acción"
"Excl. Tax","Impuestos NO Incl."
"Total","Total"
"Incl. Tax","Impuestos incl."
"Total Incl. Tax","Total con impuestos incluidos"
"Final Price","Precio final"
"Fixed Product Taxes","Impuestos fijos del artículo"
"Enable FPT","Habilitar FPT"
"Display Prices In Product Lists","Mostrar precios en listas de artículos"
"Display Prices On Product View Page","Mostrar precios en la página de vista preliminar del artículo"
"Display Prices In Sales Modules","Mostrar precios en módulos de ventas"
"Display Prices In Emails","Mostrar precios en el correo electrónico"
"Apply Tax To FPT","Aplicar impuesto a FPT"
"Include FPT In Subtotal","Includir impuestos en el subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","Se encontró un duplicado de los campos de página web, país y estado para un impuesto fijo del producto"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Establezca combinaciones únicas de país-estado dentro del mismo impuesto de producto fijo. Verifica las combinaciones y vuelve a intentarlo."
