"Indexer Management","Gestione indici"
"Update by Schedule","Aggiorna da pianificazione"
"Update on Save","Aggiorna al salvataggio"
"Reindex required","Reindex necessario"
"Ready","Pronto"
"Processing","In elaborazione"
"Never","Mai"
"%1 index is locked by another reindex process. Skipping.","L'indice %1 è bloccato da un altro processo di reindicizzare. Verrà ignorato."
"Index Management","Gestione indice"
"Please select indexers.","Seleziona indicizzatori."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indicizzatori sono in modalità ""Aggiorna da pianificazione""."
"We couldn't change indexer(s)' mode because of an error.","Non è possibile cambiare modalità indicizzatori a causa di un errore."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indicizzatori sono in modalità ""Aggiornamento su Salva""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Uno o più <a href=""%1""> indicizzatori non sono validi</a>. Assicurarsi che il <a href=""%2"" target=""_blank"">cron di Magento </a> sia in esecuzione."
"State for the same indexer","Stato per lo stesso indicizzatore"
"State for the same view","Stato per la stessa vista"
"Field '%1' not found","Campo '%1' non trovato"
"Some Exception Message","Qualche messaggio di eccezione"
"Test Phrase","Frase di prova"
"Change indexer mode","Modifica della modalità di indicizzatore"
"Indexer","Indicizzatore"
"Description","Descrizione"
"Mode","Modalità"
"Status","Stato"
"Updated","Aggiornato"
