"State/Province","State/Province"
"--Please Select--","-- Bitte wählen --"
"lbs","lb"
"kgs","kg"
"Requested country is not available.","Requested country is not available."
"Undefined rate from ""%1-%2"".","Nicht definierter Satz von ""%1-%2""."
"Please correct the target currency.","Webservicex"
"label","Kennzeichen"
"We can't retrieve a rate from %1 for %2.","Wechselkurs von %1 zu %2 konnte nicht abgerufen werden."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:","SCHWERWIEGENDER FEHLER:"
"We can't initialize the import model.","We can't initialize the import model."
"Please specify the correct Import Service.","Bitte spezifizieren Sie den korrekten Import-Service."
"WARNING:","WARNUNG:"
"Please correct the country code: %1.","Bitte korrigieren Sie den Landescode: %1."
"Country and Format Type combination should be unique","Kombination aus Land und Formattyp sollte eindeutig sein"
"Please correct the rates received","Bitte korrigieren Sie die erhaltenen Wechselkurse"
"Please select a region, state or province.","Wählen Sie eine Region, Bundesland oder Provinz."
"Currency","Währung"
"Your current currency is: %1.","Ihre aktuelle Währung ist: %1."
"Continue","Fortsetzen"
"Currency Update Warnings","Warnung zur Währungsaktualisierung"
"Currency Setup","Währungseinrichtung"
"Currency Options","Währungsoptionen"
"Base Currency","Basiswährung"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Default Display Currency","Standard-Display-Währung"
"Allowed Currencies","Erlaubte Währungen"
"Yahoo Finance Exchange","Yahoo Finance Exchange"
"Connection Timeout in Seconds","Connection Timeout in Sekunden"
"Fixer.io","Fixer.io"
"Webservicex","Webservicex"
"Scheduled Import Settings","Einstellungen für geplanten Import"
"Enabled","Aktiviert"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Frequency","Häufigkeit"
"Service","Service"
"Start Time","Startzeit"
"Installed Currencies","Installierte Währungen"
"Zip/Postal Code is Optional for","Postleitzahl ist optional für"
"State Options","Bundeslandoptionen"
"State is Required for","Bundesland ist erforderlich für"
"Allow to Choose State if It is Optional for Country","Erlauben Sie die Wahl des Bundeslandes, wenn er für das Land optional ist"
"Weight Unit","Gewichtseinheit"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"No API Key was specified or an invalid API Key was specified.","Es wurde kein oder ein ungültiger API-Schlüssel angegeben."
"The account this API request is coming from is inactive.","Das Konto, von dem diese API-Anfrage stammt, ist inaktiv."
"The ""%1"" is not allowed as base currency for your subscription plan.","The ""%1"" is not allowed as base currency for your subscription plan."
"An invalid base currency has been entered.","Eine ungültige Basiswährung wurde eingegeben."
"Currency rates can't be retrieved.","Währungskurse können nicht abgerufen werden."
"API Key","API Key"
"The country isn't available.","The country isn't available."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
"Currency Converter API","Currency Converter API"
