"Custom Variables","Custom Variables"
"Add New Variable","Add New Variable"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Custom Variable ""%1""","Custom Variable ""%1"""
"New Custom Variable","New Custom Variable"
"Variable","Variable"
"Variable Code","Variable Code"
"Variable Name","Variable Name"
"Use Default Variable Values","Use Default Variable Values"
"No","ಇಲ್ಲ"
"Yes","ಹೌದು"
"Variable HTML Value","Variable HTML Value"
"Variable Plain Value","Variable Plain Value"
"You deleted the custom variable.","You deleted the custom variable."
"You saved the custom variable.","You saved the custom variable."
"Variable Code must be unique.","Variable Code must be unique."
"Validation has failed.","Validation has failed."
"%1","%1"
"Insert Variable...","Insert Variable..."
"Variable ID","Variable ID"
"Name","ಹೆಸರು"
"Custom Variable","Custom Variable"
"Base URL","ಮೂಲ URL"
"Secure Base URL","Secure Base URL"
"Web","ಜಾಲತಾಣ"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Save","ಉಳಿಸಿ"
"Type","ವಿಧ"
"Code","ಸಂಕೇತ"
