"ALL GROUPS","VISAS GRUPAS"
"Customer Group","Klientu grupa"
"Minimum Qty","Minimālais skaits"
"Add Minimum Qty","Noteikt minimālo daudzumu"
"We can't rebuild the index for an undefined product.","Nevar pārbūvēt indeksus nedefinētam produktam."
"Could not rebuild index for empty products array","Nevar atjaunot indeksus tukšo produktu masīvam"
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"This product is out of stock.","Produkts(i) nav pieejams."
"Some of the products are out of stock.","Some of the products are out of stock."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"Undefined product type","Undefined product type"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","No Backorders"
"Allow Qty Below 0","Atļaut daudzumu mazāku par 0"
"Allow Qty Below 0 and Notify Customer","Atļaut daudzumu mazāku par 0 un paziņot klientam"
"In Stock","Noliktavā"
"Out of Stock","Nav pieejams"
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Please correct the quantity for some products.","Please correct the quantity for some products."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","The requested qty is not available"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Mums nav ""%1"" pieprasītajā daudzumā, līdz ar to mēs veiksim atlikušā daudzuma pasūtīšanu %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Mums nav ""%1"" pieprasītajā daudzumā, līdz ar to mēs veiksim atlikušā daudzuma pasūtīšanu %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Stock Status","Krājumu Status"
"Quantity","Skaits"
"Advanced Inventory","Paplašināta noliktava"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Tikai %1 palikuši"
"Product availability","Produkta pieejamība"
"Product Name","Produkta nosaukums"
"Qty","Skaits"
"Inventory Section","Inventory Section"
"Inventory","Inventārs"
"Stock Options","Stock Options"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Display Out of Stock Products"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Product Stock Options"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Pārvaldīt noliktavu"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"Backorders","Iepriekšpasūtījums"
"Maximum Qty Allowed in Shopping Cart","Maksimālais atļautais daudzums grozā"
"Out-of-Stock Threshold","Nav noliktavā slieksnis"
"Minimum Qty Allowed in Shopping Cart","Minimālais atļautais daudzums grozā"
"Notify for Quantity Below","Paziņot ja mazāk par"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Ieslēgt skaita pieaugumu"
"Qty Increments","Skaita pieaugums"
"Stock","Stock"
"Index stock","Index stock"
"Done","Done"
"Use Config Settings","Lietot konfigurācijas iestatījumus"
"Qty Uses Decimals","Skaitam lieto decimāldaļas"
"Allow Multiple Boxes for Shipping","Atļaut vairākas kastes piegādei"
