"ALL GROUPS","ALLE GROEPEN"
"Stock Options","Voorraadopties"
"Decrease Stock When Order is Placed","Verminder voorraad wanneer bestelling is geplaatst"
"Set Items' Status to be In Stock When Order is Cancelled","Status wijzigen naar 'Op Voorraad' bij annuleren van order."
"Display Out of Stock Products","Toon niet op voorraad producten"
"Products will still be shown by direct product URLs.","Producten zullen worden getoond bij een directe product-URL"
"Only X left Threshold","Maar X op voorraad"
"Display Products Availability in Stock on Storefront","Geef beschikbare voorraad van product weer op website"
"Product Stock Options","Instellingen productvoorraad"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Hou er rekening mee dat deze instellingen alleen gelden voor afzonderlijke producten in de winkelwagen, niet de hele winkelwagen."
"Manage Stock","Voorraad beheren"
"Backorders","Nabestellingen"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Out-of-Stock Threshold","Niet op voorraad drempel"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Automatically Return Credit Memo Item to Stock","Voeg product toe aan voorraad indien er een creditfactuur is opgesteld"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Qty Increments","Opklimmend aantal"
"Stock","Voorraad"
"Index stock","Voorraad index"
"Use Config Settings","Gebruik configuratiewaarden"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Allow Multiple Boxes for Shipping","Meerdere dozen voor verzending toestaan"
"Display products availability in stock on Storefront.","Geef beschikbare voorraad van product weer in winkeletalage."
"Use Deferred Stock Update","Uitgestelde voorraad-update gebruiken"
"Changing can take some time due to processing whole catalog.","Wijzigen kan even duren als gevolg van verwerking van de hele catalogus."
"The Product stock item is invalid. Verify the stock item and try again.","Het product voorraad item is ongeldig. Controleer het voorraad item en probeer het opnieuw."
"The stock item was unable to be saved. Please try again.","Het voorraaditem kon niet worden opgeslagen. Probeer het opnieuw."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","Het voorraaditem met het ""%1"" ID is niet gevonden. Controleer het ID en probeer het opnieuw."
"The stock was unable to be saved. Please try again.","De voorraad kon niet worden opgeslagen. Probeer het opnieuw."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","De voorraad met de ""%1"" ID is niet gevonden. Controleer het ID en probeer het opnieuw."
"The stock status was unable to be saved. Please try again.","De voorraadstatus kon niet worden opgeslagen. Probeer het opnieuw."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","De ""%1"" waarde is ongeldig voor stock ID. Voer voorraad in met een standaard waarde van %2 om het opnieuw te proberen."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","De ""%1"" waarde is ongeldig voor voorraad item ID. Voer ofwel nul of een getal dan nul in om het opnieuw te proberen."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","De ""%1"" waarde is ongeldig voor voorraad item ID. Gebruik de voorraad item ID's toegewezen ""%2"" waarde en probeer het opnieuw."
"The Product with the ""%1"" SKU doesn't exist.","Het product met de ""%1"" SKU bestaat niet."
"The requested qty is not available","De gevraagde hoeveelheid is niet beschikbaar"
"Quantity increments can't use decimals. Enter a new increment and try again.","Hoeveelheid stappen kunnen geen decimalen gebruiken. Voer een nieuwe increment in en probeer het opnieuw."
