"Dynamic","ಕ್ರಿಯಾಶೀಲ"
"Constant","Constant"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Conversion Id value is not valid ""%1"". Conversion Id should be an integer."
"Google AdWords","ಗೂಗಲ್ ಆಡ್ವರ್ಡ್‍ಗಳು"
"Enable","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Conversion ID","Conversion ID"
"Conversion Language","Conversion Language"
"Conversion Format","Conversion Format"
"Conversion Color","Conversion Color"
"Conversion Label","Conversion Label"
"Conversion Value Type","Conversion Value Type"
"Conversion Value","Conversion Value"
"Send Order Currency","Send Order Currency"
