"There was an error while trying to process the request.","There was an error while trying to process the request."
"This transaction cannot be refunded with its current status.","This transaction cannot be refunded with its current status."
"Something went wrong in the payment gateway.","Something went wrong in the payment gateway."
"The authenticity of the gateway response could not be verified.","The authenticity of the gateway response could not be verified."
"Authorize Only","Authorize เท่านั้น"
"Authorize and Capture","Authorize และ Capture"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Expiration Date","วันหมดอายุ"
"Card Verification Number","รหัสยืนยันของบัตร"
"Authorize.Net","Authorize.Net"
"Enabled","เปิดใช้งาน"
"Basic Authorize.Net Settings","Basic Authorize.Net Settings"
"Title","Title"
"Environment","Environment"
"Payment Action","Payment Action"
"API Login ID","API Login ID"
"Transaction Key","Transaction Key"
"Public Client Key","Public Client Key"
"Signature Key","Signature Key"
"Merchant MD5 (deprecated)","Merchant MD5 (deprecated)"
"Advanced Authorize.Net Settings","Advanced Authorize.Net Settings"
"Accepted Currency","Accepted Currency"
"Debug","Debug"
"Email Customer","Email Customer"
"Enable Credit Card Verification Field","Enable Credit Card Verification Field"
"Credit Card Types","ประเภทบัตรเครดิต"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","การเรียงลำดับ"
"Invalid request to gateway.","Invalid request to gateway."
"Invalid gateway credentials.","Invalid gateway credentials."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
