"Credit card type","Тип кредитної картки"
"CVV result","CVV result"
"Postcode AVS check","Postcode AVS check"
"Address AVS check","Address AVS check"
"Country comparison check","Country comparison check"
"Risk Score","Risk Score"
"Not supported","Not supported"
"Not checked","Not checked"
"Matched","Matched"
"Not matched","Not matched"
"Partially matched","Partially matched"
"No such order id.","No such order id."
"Your purchase process has been cancelled.","Your purchase process has been cancelled."
"Something went wrong while processing your order. Please try again later.","Щось пішло не так під час обробки вашого замовлення. Будь ласка, спробуйте ще раз пізніше."
"Gateway response is not valid.","Gateway response is not valid."
"Wrong response type","Wrong response type"
"Currency doesn't match.","Currency doesn't match."
"Amount doesn't match.","Amount doesn't match."
"Not supported response.","Not supported response."
"Gateway processing error.","Gateway processing error."
"Transaction was not placed.","Transaction was not placed."
"None","Жоден"
"Authorize","Авторизувати"
"Authorize and Capture","Авторизувати та Захопити"
"Refused","Refused"
"Authorised","Authorised"
"Error","Помилка"
"Captured","Captured"
"Please click ","Please click "
"here","here"
" if you are not redirected automatically."," if you are not redirected automatically."
"You will be redirected to the Worldpay website.","You will be redirected to the Worldpay website."
"Continue to Worldpay","Continue to Worldpay"
"Worldpay","Worldpay"
"Enabled","Ввімкнено"
"Title","Назва"
"Payment Response Password","Payment Response Password"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Remote Admin Authorisation Password"
"MD5 Secret for Transactions","MD5 Secret for Transactions"
"Allow To Edit Contact Information","Allow To Edit Contact Information"
"Hide Contact Information","Hide Contact Information"
"Debug","Відладка"
"Test Mode","Тестовий режим"
"Payment Action for Test","Payment Action for Test"
"Payment Action","Дія Оплати"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Set Order Status to Suspected Fraud for CVV","Set Order Status to Suspected Fraud for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Set Order Status to Suspected Fraud for Postcode AVS"
"Sort Order","Порядок Сортування"
"Payment was canceled.","Payment was canceled."
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"Payment was canceled","Payment was canceled"
"Please ","Please "
"continue shopping","continue shopping"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Transaction has been declined"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
