"Credit card type","Tipo di carta di credito"
"CVV result","Risultato CVV"
"Postcode AVS check","Cap AVS check"
"Address AVS check","Controllo indirizzo AVS"
"Country comparison check","Controllo confronto Paese"
"Risk Score","Punteggio Rischio"
"Not supported","Non supportato"
"Not checked","Non controllati"
"Matched","Corrispondenti"
"Not matched","Non corrispondenti"
"Partially matched","Parzialmente corrispondenti"
"No such order id.","Nessun order id."
"Your purchase process has been cancelled.","Il processo di acquisto è stato annullato."
"Something went wrong while processing your order. Please try again later.","Qualcosa è andato storto durante l'elaborazione del tuo ordine. Si prega di riprovare più tardi."
"Gateway response is not valid.","Risposta del gateway non valida."
"Wrong response type","Tipo risposta sbagliata"
"Currency doesn't match.","La valuta non corrisponde."
"Amount doesn't match.","L'importo non corrisponde."
"Not supported response.","Nessuna risposta supportata."
"Gateway processing error.","Errore elaborazione gateway."
"Transaction was not placed.","La transazione non è stata eseguita."
"None","Nessuno"
"Authorize","Autorizza"
"Authorize and Capture","Autorizza e trattieni"
"Refused","Rifiutato"
"Authorised","Autorizzato"
"Error","Errore"
"Captured","Acquisito"
"Please click ","Si prega di cliccare "
"here","qui"
" if you are not redirected automatically."," se non sei reindirizzato automaticamente."
"You will be redirected to the Worldpay website.","Verrai reindirizzato al sito web di Worldpay."
"Continue to Worldpay","Continua su Worldpay"
"Worldpay","WorldPay"
"Enabled","Abilitato"
"Title","Titolo"
"Payment Response Password","Password Risposta pagamento"
"Remote Admin Installation ID","ID Admin di installazione remota"
"Remote Admin Authorisation Password","Password di autorizzazione di amministrazione remota"
"MD5 Secret for Transactions","MD5 Segreto per le transazioni"
"Allow To Edit Contact Information","Consenti di modificare le informazioni di contatto"
"Hide Contact Information","Nascondi le informazioni di contatto"
"Debug","Debug"
"Test Mode","Modalità test"
"Payment Action for Test","Azione di pagamento per Test"
"Payment Action","Azione di pagamento"
"Payment From Applicable Countries","Pagamento dai paesi applicabili"
"Payment From Specific Countries","Pagamenti da Paesi specifici"
"Set Order Status to Suspected Fraud for CVV","Imposta lo status dell'ordine come sospetta frode per CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Imposta lo status dell'ordine come sospetta frode per AVS CAP"
"Sort Order","Ordinamento"
"Payment was canceled.","Il pagamento è stato annullato."
"Your payment has been successfully processed by our shop system.","Il pagamento è stato elaborato con successo dal sistema del negozio."
"Payment was canceled","Il pagamento è stato annullato"
"Please ","Per favore "
"continue shopping","continua con gli acquisti"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","La transazione è stata rifiutata"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
