"Back","Назад"
"Refresh Status","Обновить статус"
"Are you sure you want to delete selected item(s)?","Are you sure you want to delete selected item(s)?"
"Delete items","Удаление объектов"
"Code Dump","Code Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Choose Report Groups"
"New Report","New Report"
"Date Generated","Date Generated"
"Report Groups","Report Groups"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
