"All","Alle"
"None","Ingen"
"Allowed Scopes","Tillatte områder"
"You need more permissions to delete this item(s): %1.","You need more permissions to delete this item(s): %1."
"You need more permissions to apply some of the rule updates.","Du trenger flere tillatelser for å utføre noen av regeloppdateringene."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","Du trenger flere tillatelser for å få tilgang til nettside ""%1""."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","Rolleområder"
"Custom","Egendefinert"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","Flere tillatelser er nødvendig for å slette elementet ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Denne entiteten må tilordnes en butikkvisning. Verifiser entitetens tilordning og prøv på nytt."
"Orders can only be completed in an active store. Verify the store and try again.","Bestillinger kan kun fullføres i en aktiv butikk. Bekreft butikken å prøv igjen."
"This item needs to be assigned to a store view. Assign item and try again.","Dette elementet må tilordnes til en butikk. Tilordne varen og prøv på nytt."
"More permissions are needed to save this item.","Flere tillatelser nødvendig for å lagre dette elementet."
"More permissions are needed to delete this item.","Flere tillatelser er nødvendig for å slette dette elementet."
"More permissions are needed to view this item.","Flere tillatelser nødvendig for å vise dette elementet."
"At least one website or store group needs to be selected. Select and try again.","Minst en nettside eller butikkgruppe må velges. Velg og prøv igjen."
"More permissions are needed to set All Scopes to a Role.","Flere tillatelser nødvendig for å sette alle omfanger til en rolle."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ID til ""%1""-nettsted er feil. Kontroller nettsted ID og prøv igjen."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Id til ""%1""-butikken er feil. Kontroller nettsted Id og prøv igjen."
"More permissions are needed to save this setting.","Flere tillatelser er nødvendig for å lagre denne innstillingen."
