"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
"Successfully ordered","Successfully ordered"
"Continue Shopping","Continue Shopping"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"Please choose a payment method.","Please choose a payment method."
"Multishipping Settings Section","Multishipping Settings Section"
"Multishipping Settings","Multishipping Settings"
"Options","Options"
"Allow Shipping to Multiple Addresses","Allow Shipping to Multiple Addresses"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Review Order","Revisar comanda"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Select Shipping Method"
"Thank you for your purchase!","Thank you for your purchase!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Ship to:","Ship to:"
"Error:","Error:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
