"Payment Method","Начин на плаќање"
"Go to Review Your Order","Продолжи"
"Back to Shipping Information","Назад кон информации за испорака"
"Other items in your order","Други продукти во вашата нарачка"
"Edit Items","Измени ги продуктите"
"Shipping is not applicable.","Shipping is not applicable."
"Product Name","Име на продуктот"
"Check Out with Multiple Addresses","Испорака на различни адреси"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Испорака на"
"Shipping Method","Начин на испорака"
"Incl. Tax","Со ДДВ"
"Excl. Tax","Без ДДВ"
"Order Review","Преглед на нарачката"
"Item","Продукт"
"Edit","Измени"
"Price","Цена"
"Subtotal","Вкупно"
"Items","Продукти"
"Grand Total:","Вкупно:"
"Submitting order information...","Поднесување информации за нарачката..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Address %1 <span>of %2</span>","Адреса %1 <span>од %2</span>"
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Continue to Billing Information","Продолжи"
"Back to Select Addresses","Назад кон избор на адреси"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
"Successfully ordered","Successfully ordered"
"Continue Shopping","Продолжи со купување"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"Please choose a payment method.","Ве молиме изберете начин на плаќање."
"Multishipping Settings Section","Multishipping Settings Section"
"Multishipping Settings","Multishipping Settings"
"Options","Опции"
"Allow Shipping to Multiple Addresses","Дозволи испорака на различни адреси"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Максимална кол. дозволена за испорака на различни адреси"
"Review Order","Преглед на нарачката"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Избери начин на испорака"
"Thank you for your purchase!","Ви благодариме што купувате кај нас!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Ship to:","Испорачај на:"
"Error:","Error:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
