"Close","बंद करें"
"options","options"
"Select all","सभी का चयन करें"
"Deselect all","सभी को विचयन करें"
"Cancel","रद्द करें"
"Done","पूर्ण"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","कृपया चुने"
"%s of %s selected","%s of %s selected"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","B2B Features"
