"Close","Yoping"
"options","sozlamalar"
"Select all","Hammasini belgilash"
"Deselect all","Barchasini tanlash"
"Cancel","Bekor qilish"
"Done","Bajarildi"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Please Select","Iltimos tanlang"
"%s of %s selected","%s dan %s tanlandi"
"Search by keyword","Search by keyword"
"This is a required field.","This is a required field."
"B2B Features","B2B Xususiyatlar"
