"Delete Current Hierarchy","Slette gjeldende hierarki"
"Copy","Kopi"
"Pages Hierarchy","Sidehierarki"
"Page Properties","Sideegenskaper"
"Title","Tittel"
"URL Key","URL-nøkkel"
"Preview","Forhåndsvis"
"Preview is not available.","Forhåndsvisning er ikke tilgjengelig."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
"First","Første"
"Next/Previous","Neste/forrige"
"Enable Chapter/Section","Enable Chapter/Section"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Enables Chapter/Section functionality for this node, its sub-nodes and pages"
"Chapter/Section","Chapter/Section"
"Defines this node as Chapter/Section","Defines this node as Chapter/Section"
"Pagination Options for Nested Pages","Pagination Options for Nested Pages"
"Enable Pagination","Aktiver paginering"
"Frame","Ramme"
"Set the number of links to display at one time.","Set the number of links to display at one time."
"Frame Skip","Ramme Hopp over"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Page Navigation Menu Options","Side Naviagasjon Meny Alternativer"
"Exclude from Navigation Menu","Ekskluder fra Navigasjon Meny"
"Show in navigation menu.","Vis i navigeringsmenyen."
"Menu Layout","Meny Oppsett"
"Only Children","Bare Barn"
"Neighbours and Children","Naboer og Barn"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Maksimal dybde"
"Node Levels to Include","Node Levels to Include"
"List Type","Liste Type"
"List Style","Liste Stil"
"Main Navigation Menu Options","Hoved Navigasjon Meny Alternativer"
"Add selected page(s) to the tree","Add selected page(s) to the tree"
"Remove from tree.","Remove from tree."
"Cancel","Avbryt"
"Save","Lagre"
"Add Node...","Add Node..."
"Add to tree.","Add to tree."
"Update","Oppdater"
"Node Properties","Egenskaper for node"
"Page ID","Side-ID"
"Manage Hierarchies","Administrere hierarkier"
"Hierarchy","Hierarki"
"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","Please correct the scope."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"CMS","CMS"
"CMS Page Trees","CMS Page Trees"
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","Administrere sider"
"Private","Privat"
"Protected","Beskyttet"
"Public","Offentlig"
"Delete Multiple Hierarchies","Delete Multiple Hierarchies"
"Please correct the node data.","Please correct the node data."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Tree Viewed"
"No","Nei"
"Chapter","Chapter"
"Section","Section"
"Both","Both"
"Use default","Bruk standard"
"Default","Standard"
"Numbers (1, 2, 3, ...)","Tall (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Lower Alpha (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Upper Alpha (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Lower Roman (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Upper Roman (I, II, III, ...)"
"Circle","Sirkel"
"Disc","Disc"
"Square","Firkant"
"Unordered","Avbestilt"
"Ordered","Bestilt"
"Use Parent","Bruk overordnet"
"Yes","Ja"
"Use the parent node hierarchy.","Bruk overordnet node hierarkiet."
