"Apply Discount","Terapkan Dsikon"
"Cancel coupon","Batalkan Kupon"
"Your coupon was successfully removed.","Kupon anda telah berhasil dihapus."
"Your coupon was successfully applied.","Kupon anda berhasil diterapkan."
"Promotion","Promosi"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Web Site","Situs Web"
"Priority","Prioritas"
"Cart Price Rule","Aturan harga keranjang"
"Back","Kembali"
"Currently Active","Currently Active"
"Rule Information","Peraturan Informasi"
"Rule Name","Nama Aturan"
"Description","Deskripsi"
"Websites","Situs Web"
"Customer Groups","Grup pelanggan"
"Coupon","Kupon"
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
Jika anda memilih dan menyimpan aturan anda akan dapat menghasilkan beberapa kode kupon.                "
"Use Auto Generation","Use Auto Generation"
"Uses per Coupon","Penggunaan per Kupon"
"
                    Usage limit enforced for logged in customers only.
                ","
                    Usage limit enforced for logged in customers only.
                "
"Uses per Customer","Penggunaan per Pelanggan"
"From","Dari"
"To","Ke"
"Public In RSS Feed","Umum Di RSS Feed"
"Apply","Terapkan"
"Discount Amount","Jumlah Diskon"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Discount amount is applied to subtotal only","Discount amount is applied to subtotal only"
"Discount amount is applied to subtotal and shipping amount separately","Discount amount is applied to subtotal and shipping amount separately"
"Apply to Shipping Amount","Terapkan untuk Jumlah Pengiriman"
"Discard subsequent rules","Buang peraturan selanjutnya"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Coupons Information","Coupons Information"
"Default Label","Default Label"
"General Information","General Information"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Payment Method","Payment Method"
"Your coupon was successfully removed","Your coupon was successfully removed"
"Your coupon was successfully applied","Your coupon was successfully applied"
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    ","
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    "
"
                        Usage limit enforced for logged in customers only.
                    ","
                        Usage limit enforced for logged in customers only.
                    "
"Category (Parent only)","Category (Parent only)"
"Category (Children Only)","Category (Children Only)"
"(Parent Only)","(Parent Only)"
"(Children Only)","(Children Only)"
"Message is added to queue, wait to get your coupons soon","Message is added to queue, wait to get your coupons soon"
"Your coupons are ready","Your coupons are ready"
"You can check your coupons at sales rule page","You can check your coupons at sales rule page"
"Error during coupons generator process occurred","Error during coupons generator process occurred"
"Error during coupons generator process occurred. Please check logs for detail","Error during coupons generator process occurred. Please check logs for detail"
