"Quick Order","Schnellbestellung"
"Page not found.","Seite nicht gefunden."
"There is no items to delete","There is no items to delete"
"Cannot update item list.","Cannot update item list."
"Entered list is empty.","Entered list is empty."
"You entered item(s) with an empty SKU.","You entered item(s) with an empty SKU."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Die hochgeladene CSV-Datei enthält keine Spalte mit der Bezeichnung SKU. Stellen Sie sicher, dass die erste Spalte mit SKU benannt ist und dass jede Zeile in der Datei einen SKU-Wert enthält. Danach laden Sie die Datei bitte erneut hoch."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"You should correct the quantity for the product.","Bitte korrigieren Sie die Menge bei diesem Produkt."
"The SKU is out of stock.","Die Artikelnummer ist nicht auf Lager."
"We don't have the quantity you requested.","Wir haben die gewünschte Menge nicht."
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Die Datei konnte nicht hochgeladen werden, weil sie im falschen Format vorliegt. Bitte wählen zum Hochladen eine CSV-Datei."
"Add from File","Aus Datei hinzufügen"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Datei muss im .csv-Format sein und die Spalten ""SKU"" und ""QTY"" enthalten"
"Choose File","Datei auswählen"
"Enter Multiple SKUs","Mehrere Artikelnummern eingeben"
"Use commas or paragraph to separate SKUs.","Verwenden Sie Kommas oder Absatz, um Artikelnummern zu trennen."
"Add to List","Zur Liste hinzufügen"
"Order by SKU","Bestellung anhand Artikelnummer"
"Enter SKU or Product Name","Artikelnummer oder Produktname eingeben"
"Qty","Menge"
"Add to Cart","In den Warenkorb"
"Remove Row","Zeile entfernen"
" product(s) require(s) your attention."," Produkt(e) erfordern Ihre Aufmerksamkeit."
"Enable Quick Order","Schnellbestellung freischalten"
"Download Sample","Beispiel herunterladen"
